# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 2.1
# Generated: 2010-04-13, 01:33:25 GMT
# Checkin: $Revision: 1.29 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Arabic; Latin: [ةۃ]

0629          ; Arab; Latn; L #      (ة)  ARABIC LETTER TEH MARBUTA
# Gujarati; Hebrew: [૦]

0AE6          ; Gujr; Hebr; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Kannada: [૦]

0AE6          ; Gujr; Knda; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Lao: [૦]

0AE6          ; Gujr; Laoo; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Latin: [૦]

0AE6          ; Gujr; Latn; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Malayalam: [૦]

0AE6          ; Gujr; Mlym; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Myanmar: [૦]

0AE6          ; Gujr; Mymr; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Oriya: [ઁ઼]

0A81          ; Gujr; Orya; L #      (ઁ)  GUJARATI SIGN CANDRABINDU
0ABC          ; Gujr; Orya; L #      (઼)  GUJARATI SIGN NUKTA

# Total code points: 2

# Gujarati; Sinhala: [૦]

0AE6          ; Gujr; Sinh; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Tamil: [ં૦]

0A82          ; Gujr; Taml; L #      (ં)  GUJARATI SIGN ANUSVARA
0AE6          ; Gujr; Taml; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 2

# Gujarati; Telugu: [૦]

0AE6          ; Gujr; Telu; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Thai: [૦]

0AE6          ; Gujr; Thai; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Armenian: [੦]

0A66          ; Guru; Armn; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Bengali: [ਃ਼੧੪]

0A03          ; Guru; Beng; L #      (ਃ)  GURMUKHI SIGN VISARGA
0A3C          ; Guru; Beng; L #      (਼)  GURMUKHI SIGN NUKTA
0A67          ; Guru; Beng; L #      (੧)  GURMUKHI DIGIT ONE
0A6A          ; Guru; Beng; L #      (੪)  GURMUKHI DIGIT FOUR

# Total code points: 4

# Gurmukhi; Cyrillic: [੦]

0A66          ; Guru; Cyrl; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Devanagari: [ਂ਼ੋ੍੦]

0A02          ; Guru; Deva; L #      (ਂ)  GURMUKHI SIGN BINDI
0A3C          ; Guru; Deva; L #      (਼)  GURMUKHI SIGN NUKTA
0A4B          ; Guru; Deva; L #      (ੋ)  GURMUKHI VOWEL SIGN OO
0A4D          ; Guru; Deva; L #      (੍)  GURMUKHI SIGN VIRAMA
0A66          ; Guru; Deva; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 5

# Gurmukhi; Greek: [੦]

0A66          ; Guru; Grek; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Gujarati: [ਂ਼੍੦]

0A02          ; Guru; Gujr; L #      (ਂ)  GURMUKHI SIGN BINDI
0A3C          ; Guru; Gujr; L #      (਼)  GURMUKHI SIGN NUKTA
0A4D          ; Guru; Gujr; L #      (੍)  GURMUKHI SIGN VIRAMA
0A66          ; Guru; Gujr; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 4

# Gurmukhi; Hebrew: [੦]

0A66          ; Guru; Hebr; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Kannada: [ਃ੦]

0A03          ; Guru; Knda; L #      (ਃ)  GURMUKHI SIGN VISARGA
0A66          ; Guru; Knda; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Lao: [੦]

0A66          ; Guru; Laoo; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Latin: [੦]

0A66          ; Guru; Latn; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Malayalam: [ਃ੦]

0A03          ; Guru; Mlym; L #      (ਃ)  GURMUKHI SIGN VISARGA
0A66          ; Guru; Mlym; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Myanmar: [ਃ੦]

0A03          ; Guru; Mymr; L #      (ਃ)  GURMUKHI SIGN VISARGA
0A66          ; Guru; Mymr; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Oriya: [਼੧੪]

0A3C          ; Guru; Orya; L #      (਼)  GURMUKHI SIGN NUKTA
0A67          ; Guru; Orya; L #      (੧)  GURMUKHI DIGIT ONE
0A6A          ; Guru; Orya; L #      (੪)  GURMUKHI DIGIT FOUR

# Total code points: 3

# Gurmukhi; Sinhala: [ਃ੦]

0A03          ; Guru; Sinh; L #      (ਃ)  GURMUKHI SIGN VISARGA
0A66          ; Guru; Sinh; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Tamil: [ਂ੦]

0A02          ; Guru; Taml; L #      (ਂ)  GURMUKHI SIGN BINDI
0A66          ; Guru; Taml; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Telugu: [ਃ੦]

0A03          ; Guru; Telu; L #      (ਃ)  GURMUKHI SIGN VISARGA
0A66          ; Guru; Telu; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Thai: [੦]

0A66          ; Guru; Thai; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Han; Bengali: [〇]

3007          ; Hani; Beng; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Han; Greek: [〇]

3007          ; Hani; Grek; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Han; Malayalam: [〇]

3007          ; Hani; Mlym; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Han; Oriya: [〇]

3007          ; Hani; Orya; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Han; Tifinagh: [〇]

3007          ; Hani; Tfng; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Hebrew; Armenian: [ס]

05E1          ; Hebr; Armn; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Cyrillic: [ס]

05E1          ; Hebr; Cyrl; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Devanagari: [ס]

05E1          ; Hebr; Deva; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Greek: [טס]

05D8          ; Hebr; Grek; L #      (ט)  HEBREW LETTER TET
05E1          ; Hebr; Grek; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 2

# Hebrew; Gujarati: [ס]

05E1          ; Hebr; Gujr; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Gurmukhi: [ס]

05E1          ; Hebr; Guru; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Kannada: [ס]

05E1          ; Hebr; Knda; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Lao: [ס]

05E1          ; Hebr; Laoo; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Latin: [וטיןסװױ]

05D5          ; Hebr; Latn; L #      (ו)  HEBREW LETTER VAV
05D8..05D9    ; Hebr; Latn; L #  [2] (ט..י)  HEBREW LETTER TET..HEBREW LETTER YOD
05DF          ; Hebr; Latn; L #      (ן)  HEBREW LETTER FINAL NUN
05E1          ; Hebr; Latn; L #      (ס)  HEBREW LETTER SAMEKH
05F0..05F1    ; Hebr; Latn; L #  [2] (װ..ױ)  HEBREW LIGATURE YIDDISH DOUBLE VAV..HEBREW LIGATURE YIDDISH VAV YOD

# Total code points: 7

# Hebrew; Malayalam: [ס]

05E1          ; Hebr; Mlym; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Myanmar: [ס]

05E1          ; Hebr; Mymr; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Sinhala: [ס]

05E1          ; Hebr; Sinh; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Tamil: [ס]

05E1          ; Hebr; Taml; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Telugu: [ס]

05E1          ; Hebr; Telu; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Thai: [ס]

05E1          ; Hebr; Thai; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Canadian_Aboriginal: [ויןױ]

05D5          ; Hebr; Cans; L #      (ו)  HEBREW LETTER VAV
05D9          ; Hebr; Cans; L #      (י)  HEBREW LETTER YOD
05DF          ; Hebr; Cans; L #      (ן)  HEBREW LETTER FINAL NUN
05F1          ; Hebr; Cans; L #      (ױ)  HEBREW LIGATURE YIDDISH VAV YOD

# Total code points: 4

# Hebrew; Tifinagh: [ויןױ]

05D5          ; Hebr; Tfng; L #      (ו)  HEBREW LETTER VAV
05D9          ; Hebr; Tfng; L #      (י)  HEBREW LETTER YOD
05DF          ; Hebr; Tfng; L #      (ן)  HEBREW LETTER FINAL NUN
05F1          ; Hebr; Tfng; L #      (ױ)  HEBREW LIGATURE YIDDISH VAV YOD

# Total code points: 4

# Hiragana; Katakana: [へ]

3078          ; Hira; Kana; L #      (へ)  HIRAGANA LETTER HE

# Total code points: 1

# Kannada; Armenian: [ಂ೦]

0C82          ; Knda; Armn; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Armn; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Bengali: [ಃ]

0C83          ; Knda; Beng; L #      (ಃ)  KANNADA SIGN VISARGA

# Total code points: 1

# Kannada; Cyrillic: [ಂ೦]

0C82          ; Knda; Cyrl; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Cyrl; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Devanagari: [ಂ೦]

0C82          ; Knda; Deva; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Deva; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Greek: [ಂ೦]

0C82          ; Knda; Grek; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Grek; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Gujarati: [ಂ೦]

0C82          ; Knda; Gujr; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Gujr; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Gurmukhi: [ಂಃ೦]

0C82..0C83    ; Knda; Guru; L #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CE6          ; Knda; Guru; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 3

# Kannada; Hebrew: [ಂ೦]

0C82          ; Knda; Hebr; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Hebr; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Lao: [ಂ೦]

0C82          ; Knda; Laoo; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Laoo; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Latin: [ಂ೦]

0C82          ; Knda; Latn; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Latn; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Malayalam: [ಂಃ೦]

0C82..0C83    ; Knda; Mlym; L #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CE6          ; Knda; Mlym; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 3

# Kannada; Myanmar: [ಂಃ೦]

0C82..0C83    ; Knda; Mymr; L #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CE6          ; Knda; Mymr; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 3

# Kannada; Sinhala: [ಂಃ೦]

0C82..0C83    ; Knda; Sinh; L #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CE6          ; Knda; Sinh; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 3

# Kannada; Tamil: [ಂ೦]

0C82          ; Knda; Taml; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Taml; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Telugu: [ಂಃಅ-ಇಒ-ಔಜಞಣಯಱಲೌ೦-೨೯]

0C82..0C83    ; Knda; Telu; L #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0C85..0C87    ; Knda; Telu; L #  [3] (ಅ..ಇ)  KANNADA LETTER A..KANNADA LETTER I
0C92..0C94    ; Knda; Telu; L #  [3] (ಒ..ಔ)  KANNADA LETTER O..KANNADA LETTER AU
0C9C          ; Knda; Telu; L #      (ಜ)  KANNADA LETTER JA
0C9E          ; Knda; Telu; L #      (ಞ)  KANNADA LETTER NYA
0CA3          ; Knda; Telu; L #      (ಣ)  KANNADA LETTER NNA
0CAF          ; Knda; Telu; L #      (ಯ)  KANNADA LETTER YA
0CB1..0CB2    ; Knda; Telu; L #  [2] (ಱ..ಲ)  KANNADA LETTER RRA..KANNADA LETTER LA
0CCC          ; Knda; Telu; L #      (ೌ)  KANNADA VOWEL SIGN AU
0CE6..0CE8    ; Knda; Telu; L #  [3] (೦..೨)  KANNADA DIGIT ZERO..KANNADA DIGIT TWO
0CEF          ; Knda; Telu; L #      (೯)  KANNADA DIGIT NINE

# Total code points: 19

# Kannada; Thai: [ಂ೦]

0C82          ; Knda; Thai; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Thai; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Katakana; Hiragana: [ヘ]

30D8          ; Kana; Hira; L #      (ヘ)  KATAKANA LETTER HE

# Total code points: 1

# Khmer; Lao: [ំ]

17C6          ; Khmr; Laoo; L #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 1

# Khmer; Myanmar: [ំ]

17C6          ; Khmr; Mymr; L #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 1

# Khmer; Tamil: [ំ]

17C6          ; Khmr; Taml; L #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 1

# Khmer; Thai: [ិ-ឺំ]

17B7..17BA    ; Khmr; Thai; L #  [4] (ិ..ឺ)  KHMER VOWEL SIGN I..KHMER VOWEL SIGN YY
17C6          ; Khmr; Thai; L #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 5

# Lao; Armenian: [໐]

0ED0          ; Laoo; Armn; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Cyrillic: [໐]

0ED0          ; Laoo; Cyrl; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Devanagari: [໐]

0ED0          ; Laoo; Deva; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Greek: [໐]

0ED0          ; Laoo; Grek; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Gujarati: [໐]

0ED0          ; Laoo; Gujr; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Gurmukhi: [໐]

0ED0          ; Laoo; Guru; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Hebrew: [໐]

0ED0          ; Laoo; Hebr; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Kannada: [໐]

0ED0          ; Laoo; Knda; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Khmer: [ໍ]

0ECD          ; Laoo; Khmr; L #      (ໍ)  LAO NIGGAHITA

# Total code points: 1

# Lao; Latin: [໐]

0ED0          ; Laoo; Latn; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Malayalam: [໐]

0ED0          ; Laoo; Mlym; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Myanmar: [ໍ໐]

0ECD          ; Laoo; Mymr; L #      (ໍ)  LAO NIGGAHITA
0ED0          ; Laoo; Mymr; L #      (໐)  LAO DIGIT ZERO

# Total code points: 2

# Lao; Sinhala: [໐]

0ED0          ; Laoo; Sinh; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Tamil: [ໍ໐]

0ECD          ; Laoo; Taml; L #      (ໍ)  LAO NIGGAHITA
0ED0          ; Laoo; Taml; L #      (໐)  LAO DIGIT ZERO

# Total code points: 2

# Lao; Telugu: [໐]

0ED0          ; Laoo; Telu; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Thai: [ຈຍບປຝ-ຟຸູ່-໋ໍ໐]

0E88          ; Laoo; Thai; L #      (ຈ)  LAO LETTER CO
0E8D          ; Laoo; Thai; L #      (ຍ)  LAO LETTER NYO
0E9A..0E9B    ; Laoo; Thai; L #  [2] (ບ..ປ)  LAO LETTER BO..LAO LETTER PO
0E9D..0E9F    ; Laoo; Thai; L #  [3] (ຝ..ຟ)  LAO LETTER FO TAM..LAO LETTER FO SUNG
0EB8..0EB9    ; Laoo; Thai; L #  [2] (ຸ..ູ)  LAO VOWEL SIGN U..LAO VOWEL SIGN UU
0EC8..0ECB    ; Laoo; Thai; L #  [4] (່..໋)  LAO TONE MAI EK..LAO TONE MAI CATAWA
0ECD          ; Laoo; Thai; L #      (ໍ)  LAO NIGGAHITA
0ED0          ; Laoo; Thai; L #      (໐)  LAO DIGIT ZERO

# Total code points: 15

# Latin; Arabic: [ö]

00F6          ; Latn; Arab; L #      (ö)  LATIN SMALL LETTER O WITH DIAERESIS

# Total code points: 1

# Latin; Armenian: [f-hjnoqu-wøħơ]

0066..0068    ; Latn; Armn; L #  [3] (f..h)  LATIN SMALL LETTER F..LATIN SMALL LETTER H
006A          ; Latn; Armn; L #      (j)  LATIN SMALL LETTER J
006E..006F    ; Latn; Armn; L #  [2] (n..o)  LATIN SMALL LETTER N..LATIN SMALL LETTER O
0071          ; Latn; Armn; L #      (q)  LATIN SMALL LETTER Q
0075..0077    ; Latn; Armn; L #  [3] (u..w)  LATIN SMALL LETTER U..LATIN SMALL LETTER W
00F8          ; Latn; Armn; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
0127          ; Latn; Armn; L #      (ħ)  LATIN SMALL LETTER H WITH STROKE
01A1          ; Latn; Armn; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 13

# Latin; Cyrillic: [a-eh-kn-yæçøđħıĸŧơ]

0061..0065    ; Latn; Cyrl; L #  [5] (a..e)  LATIN SMALL LETTER A..LATIN SMALL LETTER E
0068..006B    ; Latn; Cyrl; L #  [4] (h..k)  LATIN SMALL LETTER H..LATIN SMALL LETTER K
006E..0079    ; Latn; Cyrl; L # [12] (n..y)  LATIN SMALL LETTER N..LATIN SMALL LETTER Y
00E6..00E7    ; Latn; Cyrl; L #  [2] (æ..ç)  LATIN SMALL LETTER AE..LATIN SMALL LETTER C WITH CEDILLA
00F8          ; Latn; Cyrl; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
0111          ; Latn; Cyrl; L #      (đ)  LATIN SMALL LETTER D WITH STROKE
0127          ; Latn; Cyrl; L #      (ħ)  LATIN SMALL LETTER H WITH STROKE
0131          ; Latn; Cyrl; L #      (ı)  LATIN SMALL LETTER DOTLESS I
0138          ; Latn; Cyrl; L #      (ĸ)  LATIN SMALL LETTER KRA
0167          ; Latn; Cyrl; L #      (ŧ)  LATIN SMALL LETTER T WITH STROKE
01A1          ; Latn; Cyrl; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 30

# Latin; Devanagari: [oøơ]

006F          ; Latn; Deva; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Deva; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Deva; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Georgian: [y]

0079          ; Latn; Geor; L #      (y)  LATIN SMALL LETTER Y

# Total code points: 1

# Latin; Greek: [aikn-pt-vyßøıĸŧơ]

0061          ; Latn; Grek; L #      (a)  LATIN SMALL LETTER A
0069          ; Latn; Grek; L #      (i)  LATIN SMALL LETTER I
006B          ; Latn; Grek; L #      (k)  LATIN SMALL LETTER K
006E..0070    ; Latn; Grek; L #  [3] (n..p)  LATIN SMALL LETTER N..LATIN SMALL LETTER P
0074..0076    ; Latn; Grek; L #  [3] (t..v)  LATIN SMALL LETTER T..LATIN SMALL LETTER V
0079          ; Latn; Grek; L #      (y)  LATIN SMALL LETTER Y
00DF          ; Latn; Grek; L #      (ß)  LATIN SMALL LETTER SHARP S
00F8          ; Latn; Grek; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
0131          ; Latn; Grek; L #      (ı)  LATIN SMALL LETTER DOTLESS I
0138          ; Latn; Grek; L #      (ĸ)  LATIN SMALL LETTER KRA
0167          ; Latn; Grek; L #      (ŧ)  LATIN SMALL LETTER T WITH STROKE
01A1          ; Latn; Grek; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 16

# Latin; Gujarati: [oøơ]

006F          ; Latn; Gujr; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Gujr; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Gujr; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Gurmukhi: [oøơ]

006F          ; Latn; Guru; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Guru; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Guru; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Hebrew: [lovøłơ]

006C          ; Latn; Hebr; L #      (l)  LATIN SMALL LETTER L
006F          ; Latn; Hebr; L #      (o)  LATIN SMALL LETTER O
0076          ; Latn; Hebr; L #      (v)  LATIN SMALL LETTER V
00F8          ; Latn; Hebr; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
0142          ; Latn; Hebr; L #      (ł)  LATIN SMALL LETTER L WITH STROKE
01A1          ; Latn; Hebr; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 6

# Latin; Kannada: [oøơ]

006F          ; Latn; Knda; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Knda; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Knda; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Lao: [oøơ]

006F          ; Latn; Laoo; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Laoo; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Laoo; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Malayalam: [oøơ]

006F          ; Latn; Mlym; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Mlym; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Mlym; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Myanmar: [oøơ]

006F          ; Latn; Mymr; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Mymr; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Mymr; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Sinhala: [oøơ]

006F          ; Latn; Sinh; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Sinh; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Sinh; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Tamil: [oøơ]

006F          ; Latn; Taml; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Taml; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Taml; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Telugu: [oøơ]

006F          ; Latn; Telu; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Telu; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Telu; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Thai: [oøơ]

006F          ; Latn; Thai; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Thai; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Thai; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Canadian_Aboriginal: [bdlpxđł]

0062          ; Latn; Cans; L #      (b)  LATIN SMALL LETTER B
0064          ; Latn; Cans; L #      (d)  LATIN SMALL LETTER D
006C          ; Latn; Cans; L #      (l)  LATIN SMALL LETTER L
0070          ; Latn; Cans; L #      (p)  LATIN SMALL LETTER P
0078          ; Latn; Cans; L #      (x)  LATIN SMALL LETTER X
0111          ; Latn; Cans; L #      (đ)  LATIN SMALL LETTER D WITH STROKE
0142          ; Latn; Cans; L #      (ł)  LATIN SMALL LETTER L WITH STROKE

# Total code points: 7

# Latin; Tifinagh: [lł]

006C          ; Latn; Tfng; L #      (l)  LATIN SMALL LETTER L
0142          ; Latn; Tfng; L #      (ł)  LATIN SMALL LETTER L WITH STROKE

# Total code points: 2

# Malayalam; Armenian: [ം൦]

0D02          ; Mlym; Armn; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Armn; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Bengali: [ഃഠ]

0D03          ; Mlym; Beng; L #      (ഃ)  MALAYALAM SIGN VISARGA
0D20          ; Mlym; Beng; L #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 2

# Malayalam; Cyrillic: [ം൦]

0D02          ; Mlym; Cyrl; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Cyrl; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Devanagari: [ം൦]

0D02          ; Mlym; Deva; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Deva; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Greek: [ംഠ൦]

