# LineBreak-6.0.0.txt
# Date: 2010-08-18, 17:25:00 PDT [KW]
#
# Line Break Properties
#
# This file is a normative contributory data file in the
# Unicode Character Database.
# It contains both normative and informative data.
#
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# The format is two fields separated by a semicolon.
# Field 0: Unicode value
# Field 1: LineBreak property, consisting of one of the following values:
#   Normative:
#         "BK", "CR", "LF", "CM", "SG", "GL", "CB", "SP", "ZW",
#         "NL", "WJ", "JL", "JV", "JT", "H2", "H3"
#   Informative:
#         "XX", "OP", "CL", "CP", "QU", "NS", "EX", "SY",
#         "IS", "PR", "PO", "NU", "AL", "ID", "IN", "HY",
#         "BB", "BA", "SA", "AI", "B2"
#  - All code points, assigned and unassigned, that are not listed
#         explicitly are given the value "XX".
# The unassigned code points that default to "ID" include ranges in the
# following blocks:
#     CJK Unified Ideographs Extension A:       U+3400..U+4DBF
#     CJK Unified Ideographs:                   U+4E00..U+9FFF
#     CJK Compatibility Ideographs:             U+F900..U+FAFF
#     CJK Unified Ideographs Extension B:      U+20000..U+2A6DF
#     CJK Unified Ideographs Extension C:      U+2A700..U+2B73F
#     CJK Unified Ideographs Extension D:      U+2B740..U+2B81F
#     CJK Compatibility Ideographs Supplement: U+2F800..U+2FA1F
#     and any other reserved code points on
#         Planes 2 and 3:                      U+20000..U+2FFFD
#                                              U+30000..U+3FFFD
#  - Characters ranges are specified as for other property files in
#         the Unicode Character Database.
#
# The Unicode name of each character is provided in a comment for help
# in identifying the characters.
#
# See UAX #14: Unicode Line Breaking Algorithm, for more information
#
# @missing: 0000..10FFFF; XX
BA01..BA1B;H3
BA1C;H2
BA1D..BA37;H3
BA38;H2
BA39..BA53;H3
BA54;H2
BA55..BA6F;H3
BA70;H2
BA71..BA8B;H3
BA8C;H2
BA8D..BAA7;H3
BAA8;H2
BAA9..BAC3;H3
BAC4;H2
BAC5..BADF;H3
BAE0;H2
BAE1..BAFB;H3
BAFC;H2
BAFD..BB17;H3
BB18;H2
BB19..BB33;H3
BB34;H2
BB35..BB4F;H3
BB50;H2
BB51..BB6B;H3
BB6C;H2
BB6D..BB87;H3
BB88;H2
BB89..BBA3;H3
BBA4;H2
BBA5..BBBF;H3
BBC0;H2
BBC1..BBDB;H3
BBDC;H2
BBDD..BBF7;H3
BBF8;H2
BBF9..BC13;H3
BC14;H2
BC15..BC2F;H3
BC30;H2
BC31..BC4B;H3
BC4C;H2
BC4D..BC67;H3
BC68;H2
BC69..BC83;H3
BC84;H2
BC85..BC9F;H3
BCA0;H2
BCA1..BCBB;H3
BCBC;H2
BCBD..BCD7;H3
BCD8;H2
BCD9..BCF3;H3
BCF4;H2
BCF5..BD0F;H3
BD10;H2
BD11..BD2B;H3
BD2C;H2
BD2D..BD47;H3
BD48;H2
BD49..BD63;H3
BD64;H2
BD65..BD7F;H3
BD80;H2
BD81..BD9B;H3
BD9C;H2
BD9D..BDB7;H3
BDB8;H2
BDB9..BDD3;H3
BDD4;H2
BDD5..BDEF;H3
BDF0;H2
BDF1..BE0B;H3
BE0C;H2
BE0D..BE27;H3
BE28;H2
BE29..BE43;H3
BE44;H2
BE45..BE5F;H3
BE60;H2
BE61..BE7B;H3
BE7C;H2
BE7D..BE97;H3
BE98;H2
BE99..BEB3;H3
BEB4;H2
BEB5..BECF;H3
BED0;H2
BED1..BEEB;H3
BEEC;H2
BEED..BF07;H3
BF08;H2
BF09..BF23;H3
BF24;H2
BF25..BF3F;H3
BF40;H2
BF41..BF5B;H3
BF5C;H2
BF5D..BF77;H3
BF78;H2
BF79..BF93;H3
BF94;H2
BF95..BFAF;H3
BFB0;H2
BFB1..BFCB;H3
BFCC;H2
BFCD..BFE7;H3
BFE8;H2
BFE9..C003;H3
C004;H2
C005..C01F;H3
C020;H2
C021..C03B;H3
C03C;H2
C03D..C057;H3
C058;H2
C059..C073;H3
C074;H2
C075..C08F;H3
C090;H2
C091..C0AB;H3
C0AC;H2
C0AD..C0C7;H3
C0C8;H2
C0C9..C0E3;H3
C0E4;H2
C0E5..C0FF;H3
C100;H2
C101..C11B;H3
C11C;H2
C11D..C137;H3
C138;H2
C139..C153;H3
C154;H2
C155..C16F;H3
C170;H2
C171..C18B;H3
C18C;H2
C18D..C1A7;H3
C1A8;H2
C1A9..C1C3;H3
C1C4;H2
C1C5..C1DF;H3
C1E0;H2
C1E1..C1FB;H3
C1FC;H2
C1FD..C217;H3
C218;H2
C219..C233;H3
C234;H2
C235..C24F;H3
C250;H2
C251..C26B;H3
C26C;H2
C26D..C287;H3
C288;H2
C289..C2A3;H3
C2A4;H2
C2A5..C2BF;H3
C2C0;H2
C2C1..C2DB;H3
C2DC;H2
C2DD..C2F7;H3
C2F8;H2
C2F9..C313;H3
C314;H2
C315..C32F;H3
C330;H2
C331..C34B;H3
C34C;H2
C34D..C367;H3
C368;H2
C369..C383;H3
C384;H2
C385..C39F;H3
C3A0;H2
C3A1..C3BB;H3
C3BC;H2
C3BD..C3D7;H3
C3D8;H2
C3D9..C3F3;H3
C3F4;H2
C3F5..C40F;H3
C410;H2
C411..C42B;H3
C42C;H2
C42D..C447;H3
C448;H2
C449..C463;H3
C464;H2
C465..C47F;H3
C480;H2
C481..C49B;H3
C49C;H2
C49D..C4B7;H3
C4B8;H2
C4B9..C4D3;H3
C4D4;H2
C4D5..C4EF;H3
C4F0;H2
C4F1..C50B;H3
C50C;H2
C50D..C527;H3
C528;H2
C529..C543;H3
C544;H2
C545..C55F;H3
C560;H2
C561..C57B;H3
C57C;H2
C57D..C597;H3
C598;H2
C599..C5B3;H3
C5B4;H2
C5B5..C5CF;H3
C5D0;H2
C5D1..C5EB;H3
C5EC;H2
C5ED..C607;H3
C608;H2
C609..C623;H3
C624;H2
C625..C63F;H3
C640;H2
C641..C65B;H3
C65C;H2
C65D..C677;H3
C678;H2
C679..C693;H3
C694;H2
C695..C6AF;H3
C6B0;H2
C6B1..C6CB;H3
C6CC;H2
C6CD..C6E7;H3
C6E8;H2
C6E9..C703;H3
C704;H2
C705..C71F;H3
C720;H2
C721..C73B;H3
C73C;H2
C73D..C757;H3
C758;H2
C759..C773;H3
C774;H2
C775..C78F;H3
C790;H2
C791..C7AB;H3
C7AC;H2
C7AD..C7C7;H3
C7C8;H2
C7C9..C7E3;H3
C7E4;H2
C7E5..C7FF;H3
C800;H2
C801..C81B;H3
C81C;H2
C81D..C837;H3
C838;H2
C839..C853;H3
C854;H2
C855..C86F;H3
C870;H2
C871..C88B;H3
C88C;H2
C88D..C8A7;H3
C8A8;H2
C8A9..C8C3;H3
C8C4;H2
C8C5..C8DF;H3
C8E0;H2
C8E1..C8FB;H3
C8FC;H2
C8FD..C917;H3
C918;H2
C919..C933;H3
C934;H2
C935..C94F;H3
C950;H2
C951..C96B;H3
C96C;H2
C96D..C987;H3
C988;H2
C989..C9A3;H3
C9A4;H2
C9A5..C9BF;H3
C9C0;H2
C9C1..C9DB;H3
C9DC;H2
C9DD..C9F7;H3
C9F8;H2
C9F9..CA13;H3
CA14;H2
CA15..CA2F;H3
CA30;H2
CA31..CA4B;H3
CA4C;H2
CA4D..CA67;H3
CA68;H2
CA69..CA83;H3
CA84;H2
CA85..CA9F;H3
CAA0;H2
CAA1..CABB;H3
CABC;H2
CABD..CAD7;H3
CAD8;H2
CAD9..CAF3;H3
CAF4;H2
CAF5..CB0F;H3
CB10;H2
CB11..CB2B;H3
CB2C;H2
CB2D..CB47;H3
CB48;H2
CB49..CB63;H3
CB64;H2
CB65..CB7F;H3
CB80;H2
CB81..CB9B;H3
CB9C;H2
CB9D..CBB7;H3
CBB8;H2
CBB9..CBD3;H3
CBD4;H2
CBD5..CBEF;H3
CBF0;H2
CBF1..CC0B;H3
CC0C;H2
CC0D..CC27;H3
CC28;H2
CC29..CC43;H3
CC44;H2
CC45..CC5F;H3
CC60;H2
CC61..CC7B;H3
CC7C;H2
CC7D..CC97;H3
CC98;H2
CC99..CCB3;H3
CCB4;H2
CCB5..CCCF;H3
CCD0;H2
CCD1..CCEB;H3
CCEC;H2
CCED..CD07;H3
CD08;H2
CD09..CD23;H3
CD24;H2
CD25..CD3F;H3
CD40;H2
CD41..CD5B;H3
CD5C;H2
CD5D..CD77;H3
CD78;H2
CD79..CD93;H3
CD94;H2
CD95..CDAF;H3
CDB0;H2
CDB1..CDCB;H3
CDCC;H2
CDCD..CDE7;H3
CDE8;H2
CDE9..CE03;H3
CE04;H2
CE05..CE1F;H3
CE20;H2
CE21..CE3B;H3
CE3C;H2
CE3D..CE57;H3
CE58;H2
CE59..CE73;H3
CE74;H2
CE75..CE8F;H3
CE90;H2
CE91..CEAB;H3
CEAC;H2
CEAD..CEC7;H3
CEC8;H2
CEC9..CEE3;H3
CEE4;H2
CEE5..CEFF;H3
CF00;H2
CF01..CF1B;H3
CF1C;H2
CF1D..CF37;H3
CF38;H2
CF39..CF53;H3
CF54;H2
CF55..CF6F;H3
CF70;H2
CF71..CF8B;H3
CF8C;H2
CF8D..CFA7;H3
CFA8;H2
CFA9..CFC3;H3
CFC4;H2
CFC5..CFDF;H3
CFE0;H2
CFE1..CFFB;H3
CFFC;H2
CFFD..D017;H3
D018;H2
D019..D033;H3
D034;H2
D035..D04F;H3
D050;H2
D051..D06B;H3
D06C;H2
D06D..D087;H3
D088;H2
D089..D0A3;H3
D0A4;H2
D0A5..D0BF;H3
D0C0;H2
D0C1..D0DB;H3
D0DC;H2
D0DD..D0F7;H3
D0F8;H2
D0F9..D113;H3
D114;H2
D115..D12F;H3
D130;H2
D131..D14B;H3
D14C;H2
D14D..D167;H3
D168;H2
D169..D183;H3
D184;H2
D185..D19F;H3
D1A0;H2
D1A1..D1BB;H3
D1BC;H2
D1BD..D1D7;H3
D1D8;H2
D1D9..D1F3;H3
D1F4;H2
D1F5..D20F;H3
D210;H2
D211..D22B;H3
D22C;H2
D22D..D247;H3
D248;H2
D249..D263;H3
D264;H2
D265..D27F;H3
D280;H2
D281..D29B;H3
D29C;H2
D29D..D2B7;H3
D2B8;H2
D2B9..D2D3;H3
D2D4;H2
D2D5..D2EF;H3
D2F0;H2
D2F1..D30B;H3
D30C;H2
D30D..D327;H3
D328;H2
D329..D343;H3
D344;H2
D345..D35F;H3
D360;H2
D361..D37B;H3
D37C;H2
D37D..D397;H3
D398;H2
D399..D3B3;H3
D3B4;H2
D3B5..D3CF;H3
D3D0;H2
D3D1..D3EB;H3
D3EC;H2
D3ED..D407;H3
D408;H2
D409..D423;H3
D424;H2
D425..D43F;H3
D440;H2
D441..D45B;H3
D45C;H2
D45D..D477;H3
D478;H2
D479..D493;H3
D494;H2
D495..D4AF;H3
D4B0;H2
D4B1..D4CB;H3
D4CC;H2
D4CD..D4E7;H3
D4E8;H2
D4E9..D503;H3
D504;H2
D505..D51F;H3
D520;H2
D521..D53B;H3
D53C;H2
D53D..D557;H3
D558;H2
D559..D573;H3
D574;H2
D575..D58F;H3
D590;H2
D591..D5AB;H3
D5AC;H2
D5AD..D5C7;H3
D5C8;H2
D5C9..D5E3;H3
D5E4;H2
D5E5..D5FF;H3
D600;H2
D601..D61B;H3
D61C;H2
D61D..D637;H3
D638;H2
D639..D653;H3
D654;H2
D655..D66F;H3
D670;H2
D671..D68B;H3
D68C;H2
D68D..D6A7;H3
D6A8;H2
D6A9..D6C3;H3
D6C4;H2
D6C5..D6DF;H3
D6E0;H2
D6E1..D6FB;H3
D6FC;H2
D6FD..D717;H3
D718;H2
D719..D733;H3
D734;H2
D735..D74F;H3
D750;H2
D751..D76B;H3
D76C;H2
D76D..D787;H3
D788;H2
D789..D7A3;H3
D7B0..D7C6;JV
D7CB..D7FB;JT
D800..DB7F;SG
DB80..DBFF;SG
DC00..DFFF;SG
E000..F8FF;XX
F900..FA2D;ID
FA2E..FA2F;ID
FA30..FA6D;ID
FA6E..FA6F;ID
FA70..FAD9;ID
FADA..FAFF;ID
FB00..FB06;AL
FB13..FB17;AL
FB1D;AL
FB1E;CM
FB1F..FB36;AL
FB38..FB3C;AL
FB3E;AL
FB40..FB41;AL
FB43..FB44;AL
FB46..FBC1;AL
FBD3..FD3D;AL
FD3E;OP
FD3F;CL
FD50..FD8F;AL
FD92..FDC7;AL
FDF0..FDFB;AL
FDFC;PO
FDFD;AL
FE00..FE0F;CM
FE10;IS
FE11..FE12;CL
FE13..FE14;IS
FE15..FE16;EX
FE17;OP
FE18;CL
FE19;IN
FE20..FE26;CM
FE30..FE34;ID
FE35;OP
FE36;CL
FE37;OP
FE38;CL
FE39;OP
FE3A;CL
FE3B;OP
FE3C;CL
FE3D;OP
FE3E;CL
FE3F;OP
FE40;CL
FE41;OP
FE42;CL
FE43;OP
FE44;CL
FE45..FE46;ID
FE47;OP
FE48;CL
FE49..FE4F;ID
FE50;CL
FE51;ID
FE52;CL
FE54..FE55;NS
FE56..FE57;EX
FE58;ID
FE59;OP
FE5A;CL
FE5B;OP
FE5C;CL
FE5D;OP
FE5E;CL
FE5F..FE66;ID
FE68;ID
FE69;PR
FE6A;PO
FE6B;ID
FE70..FE74;AL
FE76..FEFC;AL
FEFF;WJ
FF01;EX
FF02..FF03;ID
FF04;PR
FF05;PO
FF06..FF07;ID
FF08;OP
FF09;CL
FF0A..FF0B;ID
FF0C;CL
FF0D;ID
FF0E;CL
FF0F..FF19;ID
FF1A..FF1B;NS
FF1C..FF1E;ID
FF1F;EX
FF20..FF3A;ID
FF3B;OP
FF3C;ID
FF3D;CL
FF3E..FF5A;ID
FF5B;OP
FF5C;ID
FF5D;CL
FF5E;ID
FF5F;OP
FF60..FF61;CL
FF62;OP
FF63..FF64;CL
FF65;NS
FF66;AL
FF67..FF70;NS
FF71..FF9D;AL
FF9E..FF9F;NS
FFA0..FFBE;AL
FFC2..FFC7;AL
FFCA..FFCF;AL
FFD2..FFD7;AL
FFDA..FFDC;AL
FFE0;PO
FFE1;PR
FFE2..FFE4;ID
FFE5..FFE6;PR
FFE8..FFEE;AL
FFF9..FFFB;CM
FFFC;CB
FFFD;AI
10000..1000B;AL
1000D..10026;AL
10028..1003A;AL
1003C..1003D;AL
1003F..1004D;AL
10050..1005D;AL
10080..100FA;AL
10100..10102;BA
10107..10133;AL
10137..1018A;AL
10190..1019B;AL
101D0..101FC;AL
101FD;CM
10280..1029C;AL
102A0..102D0;AL
10300..1031E;AL
10320..10323;AL
10330..1034A;AL
10380..1039D;AL
1039F;BA
103A0..103C3;AL
103C8..103CF;AL
103D0;BA
103D1..103D5;AL
10400..1049D;AL
104A0..104A9;NU
10800..10805;AL
10808;AL
1080A..10835;AL
10837..10838;AL
1083C;AL
1083F..10855;AL
10857;BA
10858..1085F;AL
10900..1091B;AL
1091F;BA
10920..10939;AL
1093F;AL
10A00;AL
10A01..10A03;CM
10A05..10A06;CM
10A0C..10A0F;CM
10A10..10A13;AL
10A15..10A17;AL
10A19..10A33;AL
10A38..10A3A;CM
10A3F;CM
10A40..10A47;AL
10A50..10A57;BA
10A58;AL
10A60..10A7F;AL
10B00..10B35;AL
10B39..10B3F;BA
10B40..10B55;AL
10B58..10B72;AL
10B78..10B7F;AL
10C00..10C48;AL
10E60..10E7E;AL
11000..11002;CM
11003..11037;AL
11038..11046;CM
11047..11048;BA
11049..1104D;AL
11052..11065;AL
11066..1106F;NU
11080..11082;CM
11083..110AF;AL
110B0..110BA;CM
110BB..110BD;AL
110BE..110C1;BA
12000..1236E;AL
12400..12462;AL
12470..12473;BA
13000..13257;AL
13258..1325A;OP
1325B..1325D;CL
1325E..13281;AL
13282;CL
13283..13285;AL
13286;OP
13287;CL
13288;OP
13289;CL
1328A..13378;AL
13379;OP
1337A..1337B;CL
1337C..1342E;AL
16800..16A38;AL
1B000..1B001;ID
1D000..1D0F5;AL
1D100..1D126;AL
1D129..1D164;AL
1D165..1D169;CM
1D16A..1D16C;AL
1D16D..1D182;CM
1D183..1D184;AL
1D185..1D18B;CM
1D18C..1D1A9;AL
1D1AA..1D1AD;CM
1D1AE..1D1DD;AL
1D200..1D241;AL
1D242..1D244;CM
1D245;AL
1D300..1D356;AL
1D360..1D371;AL
1D400..1D454;AL
1D456..1D49C;AL
1D49E..1D49F;AL
1D4A2;AL
1D4A5..1D4A6;AL
1D4A9..1D4AC;AL
1D4AE..1D4B9;AL
1D4BB;AL
1D4BD..1D4C3;AL
1D4C5..1D505;AL
1D507..1D50A;AL
1D50D..1D514;AL
1D516..1D51C;AL
1D51E..1D539;AL
1D53B..1D53E;AL
1D540..1D544;AL
1D546;AL
1D54A..1D550;AL
1D552..1D6A5;AL
1D6A8..1D7CB;AL
1D7CE..1D7FF;NU
1F000..1F02B;AL
1F030..1F093;AL
1F0A0..1F0AE;AL
1F0B1..1F0BE;AL
1F0C1..1F0CF;AL
1F0D1..1F0DF;AL
1F100..1F10A;AI
1F110..1F12D;AI
1F12E;AL
1F130..1F169;AI
1F170..1F19A;AI
1F1E6..1F1FF;AL
1F200..1F202;ID
1F210..1F23A;ID
1F240..1F248;ID
1F250..1F251;ID
1F300..1F320;AL
1F330..1F335;AL
1F337..1F37C;AL
1F380..1F393;AL
1F3A0..1F3C4;AL
1F3C6..1F3CA;AL
1F3E0..1F3F0;AL
1F400..1F43E;AL
1F440;AL
1F442..1F4F7;AL
1F4F9..1F4FC;AL
1F500..1F53D;AL
1F550..1F567;AL
1F5FB..1F5FF;AL
1F601..1F610;AL
1F612..1F614;AL
1F616;AL
1F618;AL
1F61A;AL
1F61C..1F61E;AL
1F620..1F625;AL
1F628..1F62B;AL
1F62D;AL
1F630..1F633;AL
1F635..1F640;AL
1F645..1F64F;AL
1F680..1F6C5;AL
1F700..1F773;AL
20000..2A6D6;ID
2A6D7..2A6FF;ID
2A700..2B734;ID
2B735..2B73F;ID
2B740..2B81D;ID
2B81E..2F7FF;ID
2F800..2FA1D;ID
2FA1E..2FFFD;ID
30000..3FFFD;ID
E0001;CM
E0020..E007F;CM
E0100..E01EF;CM
F0000..FFFFD;XX
100000..10FFFD;XX

# EOF
