# Scripts-6.0.0.txt
# Date: 2010-08-19, 00:48:47 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Property:	Script

#  All code points not explicitly listed for Script
#  have the value Unknown (Zzzz).

# @missing: 0000..10FFFF; Unknown

# ================================================

0000..001F    ; Common
109A..109C    ; Myanmar
109D          ; Myanmar
109E..109F    ; Myanmar
AA60..AA6F    ; Myanmar
AA70          ; Myanmar
AA71..AA76    ; Myanmar
AA77..AA79    ; Myanmar
AA7A          ; Myanmar
AA7B          ; Myanmar

# Total code points: 188

# ================================================

10A0..10C5    ; Georgian
10D0..10FA    ; Georgian
10FC          ; Georgian
2D00..2D25    ; Georgian

# Total code points: 120

# ================================================

1100..11FF    ; Hangul
302E..302F    ; Hangul
3131..318E    ; Hangul
3200..321E    ; Hangul
3260..327E    ; Hangul
A960..A97C    ; Hangul
AC00..D7A3    ; Hangul
D7B0..D7C6    ; Hangul
D7CB..D7FB    ; Hangul
FFA0..FFBE    ; Hangul
FFC2..FFC7    ; Hangul
FFCA..FFCF    ; Hangul
FFD2..FFD7    ; Hangul
FFDA..FFDC    ; Hangul

# Total code points: 11739

# ================================================

1200..1248    ; Ethiopic
124A..124D    ; Ethiopic
1250..1256    ; Ethiopic
1258          ; Ethiopic
125A..125D    ; Ethiopic
1260..1288    ; Ethiopic
128A..128D    ; Ethiopic
1290..12B0    ; Ethiopic
12B2..12B5    ; Ethiopic
12B8..12BE    ; Ethiopic
12C0          ; Ethiopic
12C2..12C5    ; Ethiopic
12C8..12D6    ; Ethiopic
12D8..1310    ; Ethiopic
1312..1315    ; Ethiopic
1318..135A    ; Ethiopic
135D..135F    ; Ethiopic
1360          ; Ethiopic
1361..1368    ; Ethiopic
1369..137C    ; Ethiopic
1380..138F    ; Ethiopic
1390..1399    ; Ethiopic
2D80..2D96    ; Ethiopic
2DA0..2DA6    ; Ethiopic
2DA8..2DAE    ; Ethiopic
2DB0..2DB6    ; Ethiopic
2DB8..2DBE    ; Ethiopic
2DC0..2DC6    ; Ethiopic
2DC8..2DCE    ; Ethiopic
2DD0..2DD6    ; Ethiopic
2DD8..2DDE    ; Ethiopic
AB01..AB06    ; Ethiopic
AB09..AB0E    ; Ethiopic
AB11..AB16    ; Ethiopic
AB20..AB26    ; Ethiopic
AB28..AB2E    ; Ethiopic

# Total code points: 495

# ================================================

13A0..13F4    ; Cherokee

# Total code points: 85

# ================================================

1400          ; Canadian_Aboriginal
1401..166C    ; Canadian_Aboriginal
166D..166E    ; Canadian_Aboriginal
166F..167F    ; Canadian_Aboriginal
18B0..18F5    ; Canadian_Aboriginal

# Total code points: 710

# ================================================

1680          ; Ogham
1681..169A    ; Ogham
169B          ; Ogham
169C          ; Ogham

# Total code points: 29

# ================================================

16A0..16EA    ; Runic
16EE..16F0    ; Runic

# Total code points: 78

# ================================================

1780..17B3    ; Khmer
17B4..17B5    ; Khmer
17B6          ; Khmer
17B7..17BD    ; Khmer
17BE..17C5    ; Khmer
17C6          ; Khmer
17C7..17C8    ; Khmer
17C9..17D3    ; Khmer
17D4..17D6    ; Khmer
17D7          ; Khmer
17D8..17DA    ; Khmer
17DB          ; Khmer
17DC          ; Khmer
17DD          ; Khmer
17E0..17E9    ; Khmer
17F0..17F9    ; Khmer
19E0..19FF    ; Khmer

# Total code points: 146

# ================================================

1800..1801    ; Mongolian
1804          ; Mongolian
1806          ; Mongolian
1807..180A    ; Mongolian
180B..180D    ; Mongolian
180E          ; Mongolian
1810..1819    ; Mongolian
1820..1842    ; Mongolian
1843          ; Mongolian
1844..1877    ; Mongolian
1880..18A8    ; Mongolian
18A9          ; Mongolian
18AA          ; Mongolian

# Total code points: 153

# ================================================

3041..3096    ; Hiragana
309D..309E    ; Hiragana
309F          ; Hiragana
1B001         ; Hiragana
1F200         ; Hiragana

# Total code points: 91

# ================================================

30A1..30FA    ; Katakana
30FD..30FE    ; Katakana
30FF          ; Katakana
31F0..31FF    ; Katakana
32D0..32FE    ; Katakana
3300..3357    ; Katakana
FF66..FF6F    ; Katakana
FF71..FF9D    ; Katakana
1B000         ; Katakana

# Total code points: 300

# ================================================

02EA..02EB    ; Bopomofo
3105..312D    ; Bopomofo
31A0..31BA    ; Bopomofo

# Total code points: 70

# ================================================

2E80..2E99    ; Han
2E9B..2EF3    ; Han
2F00..2FD5    ; Han
3005          ; Han
3007          ; Han
3021..3029    ; Han
3038..303A    ; Han
303B          ; Han
3400..4DB5    ; Han
4E00..9FCB    ; Han
F900..FA2D    ; Han
FA30..FA6D    ; Han
FA70..FAD9    ; Han
20000..2A6D6  ; Han
2A700..2B734  ; Han
2B740..2B81D  ; Han
2F800..2FA1D  ; Han

# Total code points: 75960

# ================================================

A000..A014    ; Yi
A015          ; Yi
A016..A48C    ; Yi
A490..A4C6    ; Yi

# Total code points: 1220

# ================================================

10300..1031E  ; Old_Italic
10320..10323  ; Old_Italic

# Total code points: 35

# ================================================

10330..10340  ; Gothic
10341         ; Gothic
10342..10349  ; Gothic
1034A         ; Gothic

# Total code points: 27

# ================================================

10400..1044F  ; Deseret

# Total code points: 80

# ================================================

0300..036F    ; Inherited
0485..0486    ; Inherited
064B..0655    ; Inherited
065F          ; Inherited
0670          ; Inherited
0951..0952    ; Inherited
1CD0..1CD2    ; Inherited
1CD4..1CE0    ; Inherited
1CE2..1CE8    ; Inherited
1CED          ; Inherited
1DC0..1DE6    ; Inherited
1DFC..1DFF    ; Inherited
200C..200D    ; Inherited
20D0..20DC    ; Inherited
20DD..20E0    ; Inherited
20E1          ; Inherited
20E2..20E4    ; Inherited
20E5..20F0    ; Inherited
302A..302D    ; Inherited
3099..309A    ; Inherited
FE00..FE0F    ; Inherited
FE20..FE26    ; Inherited
101FD         ; Inherited
1D167..1D169  ; Inherited
1D17B..1D182  ; Inherited
1D185..1D18B  ; Inherited
1D1AA..1D1AD  ; Inherited
E0100..E01EF  ; Inherited

# Total code points: 523

# ================================================

1700..170C    ; Tagalog
170E..1711    ; Tagalog
1712..1714    ; Tagalog

# Total code points: 20

# ================================================

1720..1731    ; Hanunoo
1732..1734    ; Hanunoo

# Total code points: 21

# ================================================

1740..1751    ; Buhid
1752..1753    ; Buhid

# Total code points: 20

# ================================================

1760..176C    ; Tagbanwa
176E..1770    ; Tagbanwa
1772..1773    ; Tagbanwa

# Total code points: 18

# ================================================

1900..191C    ; Limbu
1920..1922    ; Limbu
1923..1926    ; Limbu
1927..1928    ; Limbu
1929..192B    ; Limbu
1930..1931    ; Limbu
1932          ; Limbu
1933..1938    ; Limbu
1939..193B    ; Limbu
1940          ; Limbu
1944..1945    ; Limbu
1946..194F    ; Limbu

# Total code points: 66

# ================================================

1950..196D    ; Tai_Le
1970..1974    ; Tai_Le

# Total code points: 35

# ================================================

10000..1000B  ; Linear_B
1000D..10026  ; Linear_B
10028..1003A  ; Linear_B
1003C..1003D  ; Linear_B
1003F..1004D  ; Linear_B
10050..1005D  ; Linear_B
10080..100FA  ; Linear_B

# Total code points: 211

# ================================================

10380..1039D  ; Ugaritic
1039F         ; Ugaritic

# Total code points: 31

# ================================================

10450..1047F  ; Shavian

# Total code points: 48

# ================================================

10480..1049D  ; Osmanya
104A0..104A9  ; Osmanya

# Total code points: 40

# ================================================

10800..10805  ; Cypriot
10808         ; Cypriot
1080A..10835  ; Cypriot
10837..10838  ; Cypriot
1083C         ; Cypriot
1083F         ; Cypriot

# Total code points: 55

# ================================================

2800..28FF    ; Braille

# Total code points: 256

# ================================================

1A00..1A16    ; Buginese
1A17..1A18    ; Buginese
1A19..1A1B    ; Buginese
1A1E..1A1F    ; Buginese

# Total code points: 30

# ================================================

03E2..03EF    ; Coptic
2C80..2CE4    ; Coptic
2CE5..2CEA    ; Coptic
2CEB..2CEE    ; Coptic
2CEF..2CF1    ; Coptic
2CF9..2CFC    ; Coptic
2CFD          ; Coptic
2CFE..2CFF    ; Coptic

# Total code points: 135

# ================================================

1980..19AB    ; New_Tai_Lue
19B0..19C0    ; New_Tai_Lue
19C1..19C7    ; New_Tai_Lue
19C8..19C9    ; New_Tai_Lue
19D0..19D9    ; New_Tai_Lue
19DA          ; New_Tai_Lue
19DE..19DF    ; New_Tai_Lue

# Total code points: 83

# ================================================

2C00..2C2E    ; Glagolitic
2C30..2C5E    ; Glagolitic

# Total code points: 94

# ================================================

2D30..2D65    ; Tifinagh
2D6F          ; Tifinagh
2D70          ; Tifinagh
2D7F          ; Tifinagh

# Total code points: 57

# ================================================

A800..A801    ; Syloti_Nagri
A802          ; Syloti_Nagri
A803..A805    ; Syloti_Nagri
A806          ; Syloti_Nagri
A807..A80A    ; Syloti_Nagri
A80B          ; Syloti_Nagri
A80C..A822    ; Syloti_Nagri
A823..A824    ; Syloti_Nagri
A825..A826    ; Syloti_Nagri
A827          ; Syloti_Nagri
A828..A82B    ; Syloti_Nagri

# Total code points: 44

# ================================================

103A0..103C3  ; Old_Persian
103C8..103CF  ; Old_Persian
103D0         ; Old_Persian
103D1..103D5  ; Old_Persian

# Total code points: 50

# ================================================

10A00         ; Kharoshthi
10A01..10A03  ; Kharoshthi
10A05..10A06  ; Kharoshthi
10A0C..10A0F  ; Kharoshthi
10A10..10A13  ; Kharoshthi
10A15..10A17  ; Kharoshthi
10A19..10A33  ; Kharoshthi
10A38..10A3A  ; Kharoshthi
10A3F         ; Kharoshthi
10A40..10A47  ; Kharoshthi
10A50..10A58  ; Kharoshthi

# Total code points: 65

# ================================================

1B00..1B03    ; Balinese
1B04          ; Balinese
1B05..1B33    ; Balinese
1B34          ; Balinese
1B35          ; Balinese
1B36..1B3A    ; Balinese
1B3B          ; Balinese
1B3C          ; Balinese
1B3D..1B41    ; Balinese
1B42          ; Balinese
1B43..1B44    ; Balinese
1B45..1B4B    ; Balinese
1B50..1B59    ; Balinese
1B5A..1B60    ; Balinese
1B61..1B6A    ; Balinese
1B6B..1B73    ; Balinese
1B74..1B7C    ; Balinese

# Total code points: 121

# ================================================

12000..1236E  ; Cuneiform
12400..12462  ; Cuneiform
12470..12473  ; Cuneiform

# Total code points: 982

# ================================================

10900..10915  ; Phoenician
10916..1091B  ; Phoenician
1091F         ; Phoenician

# Total code points: 29

# ================================================

A840..A873    ; Phags_Pa
A874..A877    ; Phags_Pa

# Total code points: 56

# ================================================

07C0..07C9    ; Nko
07CA..07EA    ; Nko
07EB..07F3    ; Nko
07F4..07F5    ; Nko
07F6          ; Nko
07F7..07F9    ; Nko
07FA          ; Nko

# Total code points: 59

# ================================================

1B80..1B81    ; Sundanese
1B82          ; Sundanese
1B83..1BA0    ; Sundanese
1BA1          ; Sundanese
1BA2..1BA5    ; Sundanese
1BA6..1BA7    ; Sundanese
1BA8..1BA9    ; Sundanese
1BAA          ; Sundanese
1BAE..1BAF    ; Sundanese
1BB0..1BB9    ; Sundanese

# Total code points: 55

# ================================================

1C00..1C23    ; Lepcha
1C24..1C2B    ; Lepcha
1C2C..1C33    ; Lepcha
1C34..1C35    ; Lepcha
1C36..1C37    ; Lepcha
1C3B..1C3F    ; Lepcha
1C40..1C49    ; Lepcha
1C4D..1C4F    ; Lepcha

# Total code points: 74

# ================================================

1C50..1C59    ; Ol_Chiki
1C5A..1C77    ; Ol_Chiki
1C78..1C7D    ; Ol_Chiki
1C7E..1C7F    ; Ol_Chiki

# Total code points: 48

# ================================================

A500..A60B    ; Vai
A60C          ; Vai
A60D..A60F    ; Vai
A610..A61F    ; Vai
A620..A629    ; Vai
A62A..A62B    ; Vai

# Total code points: 300

# ================================================

A880..A881    ; Saurashtra
A882..A8B3    ; Saurashtra
A8B4..A8C3    ; Saurashtra
A8C4          ; Saurashtra
A8CE..A8CF    ; Saurashtra
A8D0..A8D9    ; Saurashtra

# Total code points: 81

# ================================================

A900..A909    ; Kayah_Li
A90A..A925    ; Kayah_Li
A926..A92D    ; Kayah_Li
A92E..A92F    ; Kayah_Li

# Total code points: 48

# ================================================

A930..A946    ; Rejang
A947..A951    ; Rejang
A952..A953    ; Rejang
A95F          ; Rejang

# Total code points: 37

# ================================================

10280..1029C  ; Lycian

# Total code points: 29

# ================================================

102A0..102D0  ; Carian

# Total code points: 49

# ================================================

10920..10939  ; Lydian
1093F         ; Lydian

# Total code points: 27

# ================================================

AA00..AA28    ; Cham
AA29..AA2E    ; Cham
AA2F..AA30    ; Cham
AA31..AA32    ; Cham
AA33..AA34    ; Cham
AA35..AA36    ; Cham
AA40..AA42    ; Cham
AA43          ; Cham
AA44..AA4B    ; Cham
AA4C          ; Cham
AA4D          ; Cham
AA50..AA59    ; Cham
AA5C..AA5F    ; Cham

# Total code points: 83

# ================================================

1A20..1A54    ; Tai_Tham
1A55          ; Tai_Tham
1A56          ; Tai_Tham
1A57          ; Tai_Tham
1A58..1A5E    ; Tai_Tham
1A60          ; Tai_Tham
1A61          ; Tai_Tham
1A62          ; Tai_Tham
1A63..1A64    ; Tai_Tham
1A65..1A6C    ; Tai_Tham
1A6D..1A72    ; Tai_Tham
1A73..1A7C    ; Tai_Tham
1A7F          ; Tai_Tham
1A80..1A89    ; Tai_Tham
1A90..1A99    ; Tai_Tham
1AA0..1AA6    ; Tai_Tham
1AA7          ; Tai_Tham
1AA8..1AAD    ; Tai_Tham

# Total code points: 127

# ================================================

AA80..AAAF    ; Tai_Viet
AAB0          ; Tai_Viet
AAB1          ; Tai_Viet
AAB2..AAB4    ; Tai_Viet
AAB5..AAB6    ; Tai_Viet
AAB7..AAB8    ; Tai_Viet
AAB9..AABD    ; Tai_Viet
AABE..AABF    ; Tai_Viet
AAC0          ; Tai_Viet
AAC1          ; Tai_Viet
AAC2          ; Tai_Viet
AADB..AADC    ; Tai_Viet
AADD          ; Tai_Viet
AADE..AADF    ; Tai_Viet

# Total code points: 72

# ================================================

10B00..10B35  ; Avestan
10B39..10B3F  ; Avestan

# Total code points: 61

# ================================================

13000..1342E  ; Egyptian_Hieroglyphs

# Total code points: 1071

# ================================================

0800..0815    ; Samaritan
0816..0819    ; Samaritan
081A          ; Samaritan
081B..0823    ; Samaritan
0824          ; Samaritan
0825..0827    ; Samaritan
0828          ; Samaritan
0829..082D    ; Samaritan
0830..083E    ; Samaritan

# Total code points: 61

# ================================================

A4D0..A4F7    ; Lisu
A4F8..A4FD    ; Lisu
A4FE..A4FF    ; Lisu

# Total code points: 48

# ================================================

A6A0..A6E5    ; Bamum
A6E6..A6EF    ; Bamum
A6F0..A6F1    ; Bamum
A6F2..A6F7    ; Bamum
16800..16A38  ; Bamum

# Total code points: 657

# ================================================

A980..A982    ; Javanese
A983          ; Javanese
A984..A9B2    ; Javanese
A9B3          ; Javanese
A9B4..A9B5    ; Javanese
A9B6..A9B9    ; Javanese
A9BA..A9BB    ; Javanese
A9BC          ; Javanese
A9BD..A9C0    ; Javanese
A9C1..A9CD    ; Javanese
A9CF          ; Javanese
A9D0..A9D9    ; Javanese
A9DE..A9DF    ; Javanese

# Total code points: 91

# ================================================

ABC0..ABE2    ; Meetei_Mayek
ABE3..ABE4    ; Meetei_Mayek
ABE5          ; Meetei_Mayek
ABE6..ABE7    ; Meetei_Mayek
ABE8          ; Meetei_Mayek
ABE9..ABEA    ; Meetei_Mayek
ABEB          ; Meetei_Mayek
ABEC          ; Meetei_Mayek
ABED          ; Meetei_Mayek
ABF0..ABF9    ; Meetei_Mayek

# Total code points: 56

# ================================================

10840..10855  ; Imperial_Aramaic
10857         ; Imperial_Aramaic
10858..1085F  ; Imperial_Aramaic

# Total code points: 31

# ================================================

10A60..10A7C  ; Old_South_Arabian
10A7D..10A7E  ; Old_South_Arabian
10A7F         ; Old_South_Arabian

# Total code points: 32

# ================================================

10B40..10B55  ; Inscriptional_Parthian
10B58..10B5F  ; Inscriptional_Parthian

# Total code points: 30

# ================================================

10B60..10B72  ; Inscriptional_Pahlavi
10B78..10B7F  ; Inscriptional_Pahlavi

# Total code points: 27

# ================================================

10C00..10C48  ; Old_Turkic

# Total code points: 73

# ================================================

11080..11081  ; Kaithi
11082         ; Kaithi
11083..110AF  ; Kaithi
110B0..110B2  ; Kaithi
110B3..110B6  ; Kaithi
110B7..110B8  ; Kaithi
110B9..110BA  ; Kaithi
110BB..110BC  ; Kaithi
110BD         ; Kaithi
110BE..110C1  ; Kaithi

# Total code points: 66

# ================================================

1BC0..1BE5    ; Batak
1BE6          ; Batak
1BE7          ; Batak
1BE8..1BE9    ; Batak
1BEA..1BEC    ; Batak
1BED          ; Batak
1BEE          ; Batak
1BEF..1BF1    ; Batak
1BF2..1BF3    ; Batak
1BFC..1BFF    ; Batak

# Total code points: 56

# ================================================

11000         ; Brahmi
11001         ; Brahmi
11002         ; Brahmi
11003..11037  ; Brahmi
11038..11046  ; Brahmi
11047..1104D  ; Brahmi
11052..11065  ; Brahmi
11066..1106F  ; Brahmi

# Total code points: 108

# ================================================

0840..0858    ; Mandaic
0859..085B    ; Mandaic
085E          ; Mandaic

# Total code points: 29

# EOF
